id,AspectTerms,A_start,A_end,OpinionTerms,O_start,O_end,Categories,Polarities
1,_, , ,物美价廉,0,4
1,_, , ,太小,5,7
1,_, , ,喜欢,17,19
2,物流,0,2,_, , 
2,_, , ,很快,2,4
2,包装,5,7,_, , 
2,_, , ,很严实,7,10
2,_, , ,没有损坏,11,15
2,活动,16,18,_, , 
2,_, , ,很划算,24,27
3,包装,9,11,_, , 
3,_, , ,精美,11,13
3,物流,14,16,_, , 
3,_, , ,快,17,18
4,价格,0,2,_, , 
4,_, , ,便宜,2,4
4,活动,4,6,_, , 
4,_, , ,给力,6,8
4,_, , ,好,20,21
5,_, , ,淡淡的,12,15
5,香味,15,17,_, , 
5,_, , ,不错,20,22
6,物流,0,2,_, , 
6,_, , ,很快,2,4
6,_, , ,很好用,5,8
6,_, , ,挺好的,9,12
6,价格,14,16,_, , 
6,_, , ,便宜,16,18
6,_, , ,实惠,18,20
6,_, , ,不错,22,24
7,_, , ,经济,0,2
7,_, , ,实惠,3,5
8,_, , ,好评,10,12
8,_, , ,又划算,13,16
8,_, , ,应该不错,17,21
9,_, , ,很喜欢,0,3
9,_, , ,不好,4,6
9,_, , ,卡粉,6,8
9,_, , ,挺划算的,17,21
10,_, , ,非常满意,2,6
10,_, , ,非常喜欢,9,13
11,_, , ,还不错,2,5
11,_, , ,淡淡的香味,6,11
12,_, , ,不油腻,0,3
13,_, , ,良好,4,6
13,_, , ,很好用,7,10
13,_, , ,不错,14,16
14,_, , ,还不错,7,10
14,_, , ,还不错,11,14
15,价钱,12,14,_, , 
15,_, , ,合理,14,16
15,赠品,17,19,_, , 
15,_, , ,很多,19,21
16,包装,3,5,_, , 
16,_, , ,没心情了,6,10
17,_, , ,有点小,5,8
17,新包装,21,24,_, , 
17,_, , ,非常不错,25,29
18,价格,0,2,_, , 
18,_, , ,便宜,2,4
18,_, , ,很快,5,7
19,_, , ,挺好用的,0,4
19,_, , ,是真东西,7,11
19,_, , ,放心,14,16
19,颜色,17,19,_, , 
19,_, , ,粉粉的,19,22
20,_, , ,很贴合肤色,0,5
20,_, , ,不错,8,10
21,快递,0,2,_, , 
21,_, , ,快,3,4
21,_, , ,特别自然,16,20
21,_, , ,白了一个度,23,28
22,_, , ,好惊喜,13,16
22,补水,17,19,_, , 
22,保湿效果,19,23,_, , 
22,_, , ,好,23,24
23,_, , ,清洁,6,8
23,_, , ,干净,8,10
24,_, , ,还可以,2,5
24,快递的包装,8,13,_, , 
24,_, , ,中空的,17,20
25,_, , ,还不错,2,5
25,_, , ,喜欢,6,8
26,味道,0,2,_, , 
26,_, , ,挺清淡的,3,7
26,_, , ,不浮粉,8,11
26,_, , ,很好用,12,15
26,_, , ,不错,18,20
27,_, , ,挺好用的,14,18
27,_, , ,很清爽,19,22
27,_, , ,很好推开,22,26
28,香味,2,4,_, , 
28,_, , ,经济,15,17
28,_, , ,实惠,18,20
29,_, , ,不错,15,17
29,_, , ,容易推开,18,22
29,_, , ,很润,23,25
29,_, , ,显白,27,29
30,遮暇效果,17,21,_, , 
30,_, , ,很好,21,23
31,_, , ,被骗了,12,15
32,_, , ,不错不错,0,4
32,快递小哥,9,13,_, , 
32,_, , ,点赞,13,15
32,_, , ,非常好用,16,20
33,_, , ,不是特别油,8,13
34,_, , ,很好用,8,11
34,_, , ,很不错,35,38
35,_, , ,较温和,6,9
36,快递,0,2,_, , 
36,_, , ,太差劲了,2,6
37,_, , ,挺好用的,2,6
37,_, , ,很好,7,9
37,活动,11,13,_, , 
37,_, , ,能修复皮肤,16,21
38,_, , ,好评,15,17
39,_, , ,很好用,0,3
39,_, , ,很不错,4,7
40,_, , ,不错,11,13
40,_, , ,很好用,14,17
40,_, , ,还可以,18,21
41,_, , ,很好,4,6
42,_, , ,不浮粉,17,20
43,_, , ,差不多,10,13
43,_, , ,不错,16,18
43,_, , ,很好,21,23
44,_, , ,很好,0,2
44,水份,3,5,_, , 
44,_, , ,充足,5,7
44,保湿效果,8,12,_, , 
44,_, , ,棒,13,14
45,保湿,20,22,_, , 
45,美白效果,22,26,_, , 
45,_, , ,很好,26,28
